0001165-19.2015.8.17.0710,/TJPE/RMR/IGARASSU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0001165-19.2015.8.17.0710
0000341-20.2015.8.17.1370,/TJPE/SERTAO1/SERRA TALHADA/CRIMINAL/VCRIM/0000341-20.2015.8.17.1370
0000158-97.2019.8.17.8131,/TJPE/CAPITAL/PRESIDENCIA/0000158-97.2019.8.17.8131
0000194-34.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000194-34.2021.8.17.8014
0001492-78.2020.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM15/0001492-78.2020.8.17.0001
0001241-83.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0001241-83.2017.8.17.0480
0001615-07.2014.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0001615-07.2014.8.17.0480
0000941-53.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000941-53.2019.8.17.0480
0057353-64.2011.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0057353-64.2011.8.17.0001
0004030-27.2007.8.17.8007,/TJPE/CAPITAL/PRESIDENCIA/0004030-27.2007.8.17.8007
0002291-42.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0002291-42.2020.8.17.0480
0000172-90.2019.8.17.8128,/TJPE/CAPITAL/PRESIDENCIA/0000172-90.2019.8.17.8128
0022046-78.2013.8.17.0001,/TJPE/CAPITAL/ACIDENTES DE TRABALHO/VACTRAB01/0022046-78.2013.8.17.0001
0006875-09.1998.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0006875-09.1998.8.17.0001
0000017-73.2007.8.17.0250,/TJPE/SERTAO1/BELEM SAO FRANCISCO/VUNICA/0000017-73.2007.8.17.0250
0012589-11.2011.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0012589-11.2011.8.17.0480
0001086-84.2020.8.17.8043,/TJPE/CAPITAL/PRESIDENCIA/0001086-84.2020.8.17.8043
0014066-30.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0014066-30.2015.8.17.0480
0000839-06.2020.8.17.8043,/TJPE/CAPITAL/PRESIDENCIA/0000839-06.2020.8.17.8043
0000346-11.2018.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000346-11.2018.8.17.1120
0005340-14.2008.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0005340-14.2008.8.17.0480
0004384-57.2020.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM12/0004384-57.2020.8.17.0001
0001332-71.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0001332-71.2020.8.17.0480
0002095-20.2021.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM15/0002095-20.2021.8.17.0001
0000106-36.2021.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000106-36.2021.8.17.8033
0008910-56.2018.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0008910-56.2018.8.17.0480
0007127-97.2016.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0007127-97.2016.8.17.0480
0000257-60.2021.8.17.0480,/TJPE/AGRESTE1/CARUARU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0000257-60.2021.8.17.0480
0002059-12.2020.8.17.0001,/TJPE/CAPITAL/VIOLENCIA DOMESTICA MULHER/VVDFM03/0002059-12.2020.8.17.0001
0041013-84.2007.8.17.0001,/TJPE/CAPITAL/CIVEL/VCIV22A/0041013-84.2007.8.17.0001
0002818-23.2012.8.17.8030,/TJPE/CAPITAL/PRESIDENCIA/0002818-23.2012.8.17.8030
0010150-87.2003.8.17.0001,/TJPE/CAPITAL/CIVEL/VCIV27A/0010150-87.2003.8.17.0001
0001900-63.2013.8.17.1020,/TJPE/SERTAO2/OURICURI/CRIMINAL/VCRIM/0001900-63.2013.8.17.1020
0063814-47.2014.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0063814-47.2014.8.17.0001
0000198-45.2020.8.17.8131,/TJPE/CAPITAL/PRESIDENCIA/0000198-45.2020.8.17.8131
0009475-93.2013.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0009475-93.2013.8.17.0480
0000135-23.2020.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000135-23.2020.8.17.8033
0000270-35.2017.8.17.1180,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000270-35.2017.8.17.1180
0008264-28.2018.8.17.0001,/TJPE/CAPITAL/MILITAR/VJM/0008264-28.2018.8.17.0001
0000655-41.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0000655-41.2020.8.17.0480
0000518-25.2021.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000518-25.2021.8.17.0480
0001244-24.2006.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0001244-24.2006.8.17.0480
0000220-61.2014.8.17.8019,/TJPE/CAPITAL/PRESIDENCIA/0000220-61.2014.8.17.8019
0000241-09.2019.8.17.1020,/TJPE/SERTAO2/EXU/VUNICA/0000241-09.2019.8.17.1020
0018544-26.1979.8.17.0001,/TJPE/CAPITAL/SUCESSOES/VSUCES01/0018544-26.1979.8.17.0001
0000638-60.2010.8.17.8044,/TJPE/CAPITAL/PRESIDENCIA/0000638-60.2010.8.17.8044
0000073-71.2020.8.17.1440,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0000073-71.2020.8.17.1440
